都道府県,自治体・団体名,ドメイン,生存確認,連絡手段,連絡先/フォームURL,情報元ページ,備考
三重県,三重県動物愛護管理センター,mie-dakc.server-shared.com,生存,メール,mie.dakc@aqua.ocn.ne.jp (三重県動物愛護管理センター) / asmile@pref.mie.lg.jp (三重県 動物愛護推進課とみられる県担当窓口),http://mie-dakc.server-shared.com/otoiawase.html,トップページ(https://mie-dakc.server-shared.com/)内の「お問い合わせ」リンクからotoiawase.htmlに到達し、2つのメールアドレスが明記されていることを確認。mie.dakc@aqua.ocn.ne.jpはセンター直通、asmile@pref.mie.lg.jpは県庁側の窓口と推測される(ページ表記から推測、断定はできない)。フォームは確認できなかった。
三重県,四日市市,www.city.yokkaichi.lg.jp,生存,メール,eiseishidou@city.yokkaichi.mie.jp,https://www.city.yokkaichi.lg.jp/www/job/1480072588911/index.html,衛生指導課(健康福祉部)のページにメールアドレスが明記されていた。電話059-352-0591、FAX059-351-3304も併記。トップページや部署ディレクトリには問い合わせフォーム・メールの記載はなく、衛生指導課の個別ページでのみ確認できた。
京都府,京都府 山城北保健所,www.pref.kyoto.jp,生存,メール,yamashin-ho-kita-kikaku@pref.kyoto.lg.jp,https://www.pref.kyoto.jp/yamashiro/ho-kita/121852245466.html,同ページに電話番号(衛生課 0774-21-2912、保健所 0774-21-2191)、FAX(0774-24-6215)、住所(宇治市宇治若森7-6)も記載あり。メールアドレスが明記されていたため、フォーム探索は行っていない。
佐賀県,佐賀県,www.pref.saga.lg.jp,生存,メール,chuubuhokenfukushi@pref.saga.lg.jp,https://www.pref.saga.lg.jp/kiji00336883/index.html,対象ページ(kiji00349237)にはメールアドレスの直接記載はなく、電話番号(0952-30-1350)のみ記載。ページ下部の「各課へのお問合せ」リンク先(kiji00336883/index.html)に佐賀中部保健福祉事務所のメールアドレスが記載されていた。問い合わせフォームは見つからなかった。
北海道,旭川市あにまある,www.douaicenter.jp,生存,メール,douaicenter@city.asahikawa.hokkaido.jp,https://www.douaicenter.jp/,トップページのフッターに「お問い合わせ」リンクがあり、メールアドレス douaicenter@city.asahikawa.hokkaido.jp が明記されている。電話 0166-25-5271、FAX 0166-25-1313 も併記。施設見学・譲渡手続きの申し込みは専用ページ https://www.douaicenter.jp/visit から予約制。
北海道,アニウェル北海道,aniwel.jp,生存,メール,contact@aniwel.jp,https://aniwel.jp/cats/,/cats/ ページ本文にメールアドレス contact@aniwel.jp、電話番号 0157-57-3612(10:00-16:00)、施設住所(北見市相内町357-6)が明記されている。一方トップページのWebFetch結果では hi-ueta59@earth-pet.jp という別のメールアドレスとFAX番号(0157-57-3615)も検出されたが、これは委託先(earth-pet.jp
北海道,函館どうなん動物愛護センター,nyantomo.jp,生存,メール,neko@nyantomo.jp,https://nyantomo.jp/about/,運営はNPO法人ニャン友ねっとわーく北海道（個人ボランティア団体、多頭飼育崩壊現場からの猫保護活動）。対象ページ自体（donanhakodate）には道南地域の連絡先として北海道動物愛護センター道南センター(070-9338-2665)と函館市動物愛護管理センター(0138-32-1524、譲渡専用0138-44-2690)の電話番号のみ記載、メール・フォームはなし。メールアドレスはサイト全体の問
千葉県,千葉市,www.city.chiba.jp,生存,メール,dobutsuhogo.HWM@city.chiba.lg.jp,https://www.city.chiba.jp/hokenfukushi/iryoeisei/seikatsueisei/dobutsuhogo/lost_dog.html,担当部署は千葉市動物保護指導センター（千葉市稲毛区宮野木町445-1、TEL 043-258-7817、FAX 043-258-7818）。メールアドレスがページ内に明記されていたため、トップページの問い合わせフォーム探索は不要だった。
和歌山県,和歌山県,www.pref.wakayama.lg.jp,生存,メール,e0316011@pref.wakayama.lg.jp,https://www.pref.wakayama.lg.jp/prefg/031601/d00156970.html,担当部署は和歌山県動物愛護センター(〒640-1251 海草郡紀美野町国木原372、TEL 073-489-6500、FAX 073-489-6504)。メールアドレスが対象ページ内に明記されていたため、フォーム探索は不要と判断した。
宮城県,仙台市アニパル,www.city.sendai.jp,生存,メール,fuk005570@city.sendai.jp,https://www.city.sendai.jp/soshikikanri/shise/gaiyo/soshiki/052/071.html,対象ページ(inu.html)自体には電話(022-258-1626)・ファクス(022-258-1815)の記載のみでメールやフォームへのリンクはなし。組織概要ページ「健康福祉局動物管理センター」(inu.htmlからもリンクあり)にメールアドレスfuk005570@city.sendai.jpの記載を確認。仙台市トップページには動物管理センター専用の問い合わせリンクはなく、代わりに総合コールセ
宮崎県,宮崎市,www.city.miyazaki.miyazaki.jp,生存,メール,10eisei@city.miyazaki.miyazaki.jp,https://www.city.miyazaki.miyazaki.jp/life/pet/protection/411118.html,担当部署は健康管理部保健所保健衛生課動物愛護センター（電話0985-85-6011、Fax0985-85-6022）。ページ内注記に「メールによるお問い合わせは受け付けておりません。お電話でお願いします」とあり、実運用では電話連絡が推奨されている点に注意。ただしメールアドレス自体はページ内に明記されている。
岐阜県,岐阜県,www.pref.gifu.lg.jp,生存,メール,c11222@pref.gifu.lg.jp,https://www.pref.gifu.lg.jp/page/1638.html,担当部署: 岐阜県 生活衛生課(動物愛護係)。電話 058-272-1986、FAX 058-278-2627、所在地: 県庁15階。メールアドレスが対象ページ内に明記されていたため、別途トップページの問い合わせページ探索は不要と判断した。
島根県,島根県 松江保健所,www.pref.shimane.lg.jp,生存,メール,matsue-hc@pref.shimane.lg.jp,https://www.pref.shimane.lg.jp/infra/nature/animal/matsue_hoken/doubutu/hogozyouhou_kakobunn/syuyouari.html,対象ページ内に松江保健所(代表)の問い合わせ先が明記されていた: 電話0852-23-1313、FAX 0852-21-2770/0852-31-6694、メールmatsue-hc@pref.shimane.lg.jp。動物愛護推進課直通の電話番号(0852-61-8875)も記載あり(メールは代表宛のみ確認)。
広島県,広島市,www.city.hiroshima.lg.jp,生存,メール,dobutsu@city.hiroshima.lg.jp,https://www.city.hiroshima.lg.jp/living/pet-doubutsu/1021301/1026245/1037461.html,ページ内のメールアドレスはCloudflareのメール難読化(email-protection)でエンコードされていたため、curlでhtmlを取得しhex文字列をXOR復号して実アドレスを確認した(dobutsu@city.hiroshima.lg.jp、健康福祉局動物愛護センター宛)。電話082-243-6058、FAX082-243-6276も併記あり。なおヘッダーの「お問い合わせ」リンク(
愛媛県,松山市 はぴまるの丘,www.city.matsuyama.ehime.jp,生存,メール,hceisei@city.matsuyama.ehime.jp,https://www.city.matsuyama.ehime.jp/kurashi/kurashi/aigo/index.html,担当部署は生活衛生課（Health & Sanitation Division）。電話089-911-1862、FAX089-923-6627。はぴまるの丘（動物愛護センター）直通電話089-923-9435、メールは同じhceisei@city.matsuyama.ehime.jp。所在地は松山総合公園内。フォームの有無は本文中に明記なしだが、メールアドレスが確認できたためcontact_met
愛知県,名古屋市,www.city.nagoya.jp,生存,メール,a7620380-01@kenkofukushi.city.nagoya.lg.jp,https://www.city.nagoya.jp/kurashi/pet/1015473/1015489/1015493.html,担当部署: 名古屋市健康福祉局生活衛生課 動物愛護センター。電話052-762-0380、FAX052-762-0423も併記されている。メールアドレスは対象ページ本文中に直接記載されており、別途トップページの問い合わせフォームを探索する必要はなかった。
